timestamp,open,high,low,close,volume,quote_volume
1704068100000,42539.9,42610.9,42460.3,42472.2,838.129,35652396.6732
1704069000000,42472.2,42496,42394.4,42485,381.748,16203338.7654
1704069900000,42485,42546.8,42461.1,42517.4,259.649,11037052.9404
1704070800000,42517.4,42521.4,42475.1,42512.8,155.355,6601753.4666
1704071700000,42512.8,42564.4,42512.8,42539.5,208.435,8866708.0722
1704072600000,42539.5,42842.9,42538.1,42750.3,2166.284,92588477.1315
1704073500000,42750.3,42767.9,42658.2,42661.3,778.157,33239281.6988
1704074400000,42661.3,42691.9,42593.3,42611.5,657.605,28032848.8758
1704075300000,42611.5,42627.7,42580.9,42595.2,268.863,11454147.9417
1704076200000,42595.2,42662.9,42583.6,42591.9,429.76,18318870.0134
1704077100000,42591.9,42643.2,42550.8,42631.8,295.219,12578429.6164
1704078000000,42631.8,42641.4,42554,42555,436.244,18583618.3341
1704078900000,42555,42555,42465,42480.1,836.226,35546074.0376
1704079800000,42480.1,42509.5,42271.5,42350.6,1509.728,63983324.6665
1704080700000,42350.6,42410.4,42290.5,42384.1,717.079,30375067.3088
1704081600000,42384.1,42426.4,42321.5,42337.3,398.672,16900582.0159
1704082500000,42337.3,42371.7,42250.5,42355,779.21,32971724.1476
1704083400000,42355,42395.2,42329.2,42359,238.96,10124579.1648
1704084300000,42359,42448,42350.1,42446.3,383.315,16256226.158
1704085200000,42446.3,42450,42362,42398.5,337.232,14299125.3958
1704086100000,42398.5,42406.6,42334.4,42334.5,300.212,12719248.7614
1704087000000,42334.5,42365.6,42312.6,42339.9,493.045,20871703.4838
1704087900000,42339.9,42342,42211.2,42280.9,618.744,26149130.802
1704088800000,42280.9,42341.6,42248.5,42316.1,274.565,11617338.6278
1704089700000,42316.1,42389.5,42310,42357.3,271.185,11486174.446
1704090600000,42357.3,42428.8,42346,42411.3,226.939,9620766.9323
1704091500000,42411.3,42467.8,42405.5,42431.7,344.801,14631961.4421
1704092400000,42431.7,42530.7,42431.6,42486.2,651.252,27674591.5729
1704093300000,42486.2,42533,42462.5,42522.2,312.287,13272920.8393
1704094200000,42522.2,42532.7,42481.6,42481.6,223.18,9489369.3365
1704095100000,42481.6,42531.7,42466.9,42531.7,187.271,7959323.4563
1704096000000,42531.7,42581.2,42495.5,42557,647.627,27550703.5496
1704096900000,42557,42587.3,42515,42525.5,185.753,7903908.7404
1704097800000,42525.5,42550.2,42492.7,42534.5,164.984,7015146.2349
1704098700000,42534.5,42599.6,42525.3,42596.1,276.168,11759169.7262
1704099600000,42596.1,42618.7,42574.1,42614.7,334.34,14242966.6642
1704100500000,42614.7,42700,42614.6,42628.4,833.994,35580640.3617
1704101400000,42628.4,42739.8,42628.4,42681.2,727.015,31044508.3301
1704102300000,42681.2,42736,42662.5,42696.9,354.397,15129780.143
1704103200000,42696.9,42744.5,42691,42705.9,370.431,15822823.8338
1704104100000,42705.9,42755.9,42656.9,42706.4,954.931,40775758.9065
1704105000000,42706.4,42760,42706.4,42759.5,330.784,14136825.7667
1704105900000,42759.5,42796.1,42731.4,42731.4,471.229,20153577.9744
1704106800000,42731.4,42809.6,42724.1,42734.5,573.173,24522555.2466
1704107700000,42734.5,42760,42693.6,42722.9,537.788,22975340.679
1704108600000,42722.9,42728.2,42645.6,42651.1,467.571,19956076.1897
1704109500000,42651.1,42747.2,42650,42735.1,325.332,13892621.0244
1704110400000,42735.1,42784.9,42657.1,42674.8,533.451,22787919.3582
1704111300000,42674.8,42750,42670.1,42722.1,303.017,12943813.6528
1704112200000,42722.1,42820,42708.5,42800,785.632,33612236.7755
1704113100000,42800,42800.1,42685.1,42690.6,445.897,19065448.6333
1704114000000,42690.6,42748.9,42651.1,42745.9,524.328,22384764.6341
1704114900000,42745.9,42774.1,42731.6,42755.3,200.385,8566853.2633
1704115800000,42755.3,42784,42702.9,42778.5,207.436,8866614.5769
1704116700000,42778.5,42787.5,42740.7,42760.3,185.209,7920958.2452
1704117600000,42760.3,42760.3,42626.3,42688.9,647.413,27631173.6366
1704118500000,42688.9,42702.1,42605.4,42659.4,536.082,22864701.9465
1704119400000,42659.4,42699.6,42631.1,42684.2,316.537,13507776.4971
1704120300000,42684.2,42699,42621.3,42651,314.727,13423728.7348
1704121200000,42651,42687.4,42617.6,42682.7,194.101,8279902.0051
1704122100000,42682.7,42774.3,42666.6,42721.9,407.341,17404064.0956
1704123000000,42721.9,42888,42635.9,42887.9,1188.956,50861988.8246
1704123900000,42887.9,42890,42780.4,42825.1,831.8,35635074.0007
