CCI;EMA;LEVERAGE;RATIO;MAX_ORDERS;ATR_Length;Coeff;Profit;Trade Count;Profitable Trade Percentage;Max Drawdown;Test Date
71;61;15;0,90;1;90;8,80;1205357,83;62;69,35;3101011,69;1721224545473
71;62;15;0,90;1;90;8,80;1489169,49;62;69,35;3731887,81;1721263850114
70;17;15;0,84;2;123;9,25;123922,44;65;69,23;78565,44;1721298713357
83;169;15;0,71;1;39;4,55;94837,24;62;67,74;13668,32;1721548790484
67;55;14;0,98;1;92;8,94;9090,82;62;66,13;29048,29;1721714470254
69;53;14;1,09;1;147;9,64;25,26;55;63,64;39,93;1721838231240
43;41;15;2,18;1;81;2,20;41,60;44;65,91;19,53;1721965972280
21;17;15;1,08;1;139;9,41;25,48;51;60,78;3,34;1722177852133
