CCI;EMA;LEVERAGE;RATIO;MAX_ORDERS;ATR_Length;Coeff;Profit;Trade Count;Profitable Trade Percentage;Max Drawdown;Test Date
54;226;3;3,77;4;170;6,34;NaN;6;0,00;0,00;1721289450354
194;41;15;1,69;8;48;6,78;NaN;18;0,00;0,00;1721817823666
