CCI;EMA;LEVERAGE;RATIO;MAX_ORDERS;ATR_Length;Coeff;Profit;Trade Count;Profitable Trade Percentage;Max Drawdown;Test Date
278;172;9;1,90;6;88;8,75;-26,51;9;33,33;33,35;1721221736151
48;213;13;1,61;6;98;9,43;-127,76;45;42,22;182,57;1721258381881
200;209;13;0,77;1;6;2,01;107873,91;54;66,67;51988,16;1721552269884
182;300;15;0,76;1;38;2,43;16195,73;51;66,67;2976,29;1721715887939
196;145;25;0,73;2;2;2,49;144,63;61;62,30;16,62;1721817183196
52;19;25;0,80;3;16;9,42;146,74;92;60,87;52,70;1721825334432
58;16;25;0,86;3;14;9,42;126,68;83;60,24;64,30;1721826744261
188;189;22;0,83;1;6;2,01;192,40;59;64,41;36,68;1721837137558
