CCI;EMA;LEVERAGE;RATIO;MAX_ORDERS;ATR_Length;Coeff;Profit;Trade Count;Profitable Trade Percentage;Max Drawdown;Test Date
9;256;15;1,00;9;24;1,25;11489,69;59;44,07;14054,21;1721126181071
16;28;5;1,88;1;28;6,54;1208,74;59;67,80;2704,95;1721213922631
27;72;15;0,29;1;34;2,65;221816,77;74;75,68;458877,29;1721215602702
16;10;9;1,89;1;132;5,35;112623,77;56;67,86;51729,39;1721218346367
16;31;8;1,89;1;7;5,85;198177,61;59;69,49;30183,89;1721251369000
20;24;12;1,87;2;53;5,77;174759,63;59;66,10;34437,67;1721556543003
21;29;24;1,95;1;49;8,57;1418,82;67;67,16;291,51;1721827088926
20;26;25;2,05;1;26;5,92;2616,26;58;68,97;547,85;1721835896711
21;22;15;1,96;1;45;7,83;267,31;63;65,08;89,10;1721965074253
