CCI;EMA;LEVERAGE;RATIO;MAX_ORDERS;ATR_Length;Coeff;Profit;Trade Count;Profitable Trade Percentage;Max Drawdown;Test Date
64;269;15;0,74;1;2;0,68;92257,77;116;62,07;79441,65;1721138002015
120;136;15;0,17;1;4;2,63;35159,74;51;78,43;592,63;1721211587028
190;300;10;4,03;5;36;5,38;-54,37;3;0,00;54,37;1721213966973
106;145;13;0,97;1;3;2,35;3709,63;55;65,45;191,14;1721219703325
53;295;12;0,93;1;151;8,62;1376,20;67;65,67;531,22;1721254137534
65;204;15;0,75;1;1;6,72;39222,60;77;66,23;2745,41;1721549740854
