CCI;EMA;LEVERAGE;RATIO;MAX_ORDERS;ATR_Length;Coeff;Profit;Trade Count;Profitable Trade Percentage;Max Drawdown;Test Date
12;50;11;2,03;1;97;6,68;7481,45;55;65,45;810,42;1721225283657
12;50;11;2,03;1;97;6,71;7481,45;55;65,45;810,42;1721265215978
75;189;15;0,86;1;20;3,94;67765,76;69;68,12;820,30;1721560949755
218;299;11;1,73;3;112;3,37;-69,31;23;43,48;81,24;1721715229009
8;46;13;1,77;5;139;9,73;423,57;106;65,09;203,87;1721720565762
38;200;4;2,40;9;70;8,75;-2,21;23;30,43;3,16;1721838520858
62;18;15;1,58;3;96;7,96;15,74;49;63,27;9,07;1721966093383
11;13;15;1,50;1;65;9,88;25,63;54;61,11;5,60;1722178174574
